date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:27	218934/218934	---M--	200	added ('OK')	application/pdf	etag:%224efccd00-35736%22	http://armguitar.do.am/99-Mer_siro_ashuny.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/99-Mer_siro_ashuny.pdf	(from http://armguitar.do.am/)
13:08:40	97332/97332	---M--	200	added ('OK')	application/pdf	etag:%224efc923f-17c34%22	http://armguitar.do.am/88-Besyolie_gusi.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/88-Besyolie_gusi.pdf	(from http://armguitar.do.am/)
13:08:41	121621/121621	---M--	200	added ('OK')	application/pdf	etag:%224ed7d328-1db15%22	http://armguitar.do.am/17-Ochi_Chernie-ver-3-.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/17-Ochi_Chernie-ver-3-.pdf	(from http://armguitar.do.am/)
13:08:49	136962/136962	---M--	200	added ('OK')	application/pdf	etag:%224f01b35c-21702%22	http://armguitar.do.am/144-Wasted_years.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/144-Wasted_years.pdf	(from http://armguitar.do.am/)
13:08:50	3424/3424	---M--	200	added ('OK')	image/png	etag:%2252ea5ec9-d60%22	http://armguitar.do.am/.s/img/uidlogin/ulb-left.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/img/uidlogin/ulb-left.png	(from http://armguitar.do.am/)
13:08:51	1382/1382	---M--	200	added ('OK')	image/png	etag:%2252ea5ec9-566%22	http://armguitar.do.am/.s/img/uidlogin/ulb-right.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/img/uidlogin/ulb-right.png	(from http://armguitar.do.am/)
13:08:52	1021/1021	---M--	200	added ('OK')	image/png	etag:%2252ea5ec9-3fd%22	http://armguitar.do.am/.s/img/uidlogin/ulb-mid.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/img/uidlogin/ulb-mid.png	(from http://armguitar.do.am/)
13:08:56	207030/207030	---M--	200	added ('OK')	application/pdf	etag:%224f01b23c-328b6%22	http://armguitar.do.am/143-Through_with_you-ver-2-.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/143-Through_with_you-ver-2-.pdf	(from http://armguitar.do.am/)
13:08:57	2064/2064	---M--	200	added ('OK')	image/png	etag:%2251095046-810%22	http://armguitar.do.am/verjnakan.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/verjnakan.png	(from http://armguitar.do.am/_st/my.css)
13:08:58	820/820	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-334%22	http://armguitar.do.am/.s/t/785/4.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/4.png	(from http://armguitar.do.am/_st/my.css)
13:08:59	1755/1755	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-6db%22	http://armguitar.do.am/.s/t/785/5.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/5.png	(from http://armguitar.do.am/_st/my.css)
13:09:00	1221/1221	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-4c5%22	http://armguitar.do.am/.s/t/785/6.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/6.png	(from http://armguitar.do.am/_st/my.css)
13:09:01	1230/1230	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-4ce%22	http://armguitar.do.am/.s/t/785/7.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/7.png	(from http://armguitar.do.am/_st/my.css)
13:09:03	1793/1793	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-701%22	http://armguitar.do.am/.s/t/785/8.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/8.png	(from http://armguitar.do.am/_st/my.css)
13:09:04	1541/1541	---M--	200	added ('OK')	image/png	etag:%2252ea5f5c-605%22	http://armguitar.do.am/.s/t/785/9.png	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/.s/t/785/9.png	(from http://armguitar.do.am/_st/my.css)
